#met1,met2
8,10
8,21
8,43
8,50
8,51
8,9
8,24
10,21
10,43
10,50
10,51
10,3
10,13
10,14
10,17
10,23
10,26
10,33
10,34
10,36
10,38
10,41
10,52
10,53
10,58
10,59
10,60
10,62
10,66
10,18
10,40
10,48
10,19
10,28
10,12
21,43
21,50
21,51
21,14
21,19
21,71
21,3
21,13
21,17
21,23
21,26
21,33
21,34
21,36
21,38
21,41
21,52
21,53
21,58
21,59
21,60
21,62
21,66
21,18
21,40
21,48
21,28
21,12
21,69
43,50
43,51
43,6
43,7
43,44
43,14
43,15
43,24
43,13
43,17
43,41
43,60
43,3
43,23
43,26
43,33
43,34
43,36
43,38
43,52
43,53
43,58
43,59
43,62
43,66
43,18
43,56
43,64
43,65
43,46
43,47
43,25
43,28
43,29
43,31
43,32
43,5
43,1
43,54
43,37
43,39
43,40
43,48
43,49
43,27
43,4
43,61
43,19
43,16
43,63
43,69
43,70
43,22
50,51
50,14
50,19
50,71
50,24
50,3
50,13
50,17
50,23
50,26
50,33
50,34
50,36
50,38
50,41
50,52
50,53
50,58
50,59
50,60
50,62
50,66
50,1
50,46
50,48
50,44
50,64
50,65
51,14
51,19
51,71
51,24
51,3
51,13
51,17
51,23
51,26
51,33
51,34
51,36
51,38
51,41
51,52
51,53
51,58
51,59
51,60
51,62
51,66
51,1
51,46
51,48
51,44
51,64
51,65
6,12
6,13
6,17
6,7
6,44
12,13
12,17
12,60
13,17
13,16
13,41
13,60
13,44
13,3
13,14
13,23
13,26
13,33
13,34
13,36
13,38
13,52
13,53
13,58
13,59
13,62
13,66
13,54
13,37
13,27
13,1
13,19
13,69
13,71
17,16
17,41
17,60
17,44
17,3
17,14
17,23
17,26
17,33
17,34
17,36
17,38
17,52
17,53
17,58
17,59
17,62
17,66
17,54
17,37
17,27
17,1
17,19
17,69
17,71
11,18
11,41
11,45
18,41
18,58
41,45
41,60
41,44
41,3
41,14
41,23
41,26
41,33
41,34
41,36
41,38
41,52
41,53
41,58
41,59
41,62
41,66
41,56
41,64
41,65
41,2
41,27
41,31
41,48
41,37
41,54
41,42
41,40
41,4
41,5
41,19
41,16
41,22
41,46
45,14
45,19
45,52
45,53
45,40
45,69
7,44
44,14
44,15
44,60
44,56
44,64
44,65
44,46
44,47
44,24
44,25
44,28
44,29
44,31
44,32
44,38
44,39
44,48
44,49
44,61
44,62
44,63
44,69
44,70
44,52
44,53
16,59
16,60
16,62
14,19
14,71
14,15
14,3
14,23
14,26
14,33
14,34
14,36
14,38
14,52
14,53
14,58
14,59
14,60
14,62
14,66
14,54
19,71
19,20
19,4
19,52
19,53
19,67
19,48
19,62
19,58
19,59
19,60
71,60
71,69
24,25
60,3
60,23
60,26
60,33
60,34
60,36
60,38
60,52
60,53
60,58
60,59
60,62
60,66
60,27
60,1
60,54
60,37
60,61
60,69
60,22
60,46
3,23
3,26
3,33
3,34
3,36
3,38
3,52
3,53
3,58
3,59
3,62
3,66
3,1
3,2
23,26
23,33
23,34
23,36
23,38
23,52
23,53
23,58
23,59
23,62
23,66
23,68
23,72
26,33
26,34
26,36
26,38
26,52
26,53
26,58
26,59
26,62
26,66
26,27
26,30
26,68
26,72
33,34
33,36
33,38
33,52
33,53
33,58
33,59
33,62
33,66
33,22
33,27
33,1
33,68
33,72
34,36
34,38
34,52
34,53
34,58
34,59
34,62
34,66
34,5
34,35
36,38
36,52
36,53
36,58
36,59
36,62
36,66
36,54
36,37
38,52
38,53
38,58
38,59
38,62
38,66
38,54
38,39
52,53
52,58
52,59
52,62
52,66
52,5
52,54
52,4
52,67
52,48
53,58
53,59
53,62
53,66
53,5
53,54
53,4
53,67
53,48
58,59
58,62
58,66
58,48
59,62
59,66
59,2
59,30
59,35
62,66
62,30
62,35
62,46
62,48
62,28
62,63
66,67
66,68
66,72
56,64
56,65
56,57
64,65
64,31
64,69
65,31
65,69
46,47
46,22
22,27
28,29
31,69
31,48
31,32
69,40
69,70
48,40
48,49
5,4
54,55
4,67
67,72
72,68
